City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
190,westport,41.1415,-73.3579,26.9,88,20,2.57,US,1689477823
191,flin flon,54.7682,-101.865,10.05,87,96,3.71,CA,1689478059
192,inhambane,-23.865,35.3833,16.32,87,1,2.04,MZ,1689478060
193,konduga,11.6558,13.4213,26.4,62,62,2.61,NG,1689478060
194,al mindak,20.1588,41.2834,23.78,67,4,1.47,SA,1689478060
195,pacific grove,36.6177,-121.9166,19.66,91,40,3.13,US,1689478060
196,vernon,50.2581,-119.2691,30.2,41,49,0.51,CA,1689478006
197,ouesso,1.6136,16.0517,21.75,89,58,0.64,CG,1689478060
198,la ronge,55.1001,-105.2842,16.14,67,75,6.17,CA,1689478060
199,porto-novo,6.4965,2.6036,26.9,90,100,2.56,BJ,1689478060
200,saint-philippe,-21.3585,55.7679,21.77,85,96,7.08,RE,1689478060
201,ilulissat,69.2167,-51.1,4.01,100,100,0.51,GL,1689478061
202,chonchi,-42.6128,-73.8092,1.73,93,40,1.33,CL,1689478061
203,arraial do cabo,-22.9661,-42.0278,20.46,74,0,6.91,BR,1689478061
204,saipan,15.1355,145.701,31.39,100,40,7.72,MP,1689478061
205,trairi,-3.2778,-39.2689,25.35,84,1,4.56,BR,1689477878
206,alpena,45.0617,-83.4327,19.14,97,0,0.0,US,1689478061
207,invercargill,-46.4,168.35,9.2,72,56,7.45,NZ,1689478061
208,manggar,-2.8833,108.2667,27.63,75,98,3.0,ID,1689478062
209,sabang,5.8933,95.3214,28.18,75,62,8.7,ID,1689478062
210,umm kaddadah,13.6017,26.6876,30.17,47,99,5.38,SD,1689478062
211,farah,32.5,62.5,31.44,13,0,2.51,AF,1689478062
212,ciudad lazaro cardenas,17.9583,-102.2,28.3,82,11,2.33,MX,1689478062
213,lethem,3.3803,-59.7968,24.2,88,67,2.65,GY,1689478062
214,sattahip,12.6664,100.9007,33.06,66,20,4.12,TH,1689478062
215,sao vicente,-23.9631,-46.3919,18.32,26,4,1.46,BR,1689478062
216,denizciler,36.6495,36.2296,25.12,53,0,1.46,TR,1689478063
217,udachny,66.4167,112.4,13.42,39,99,3.92,RU,1689478063
218,port elizabeth,-33.918,25.5701,14.16,58,0,3.6,ZA,1689477847
219,temiskaming shores,47.4938,-79.7153,19.89,97,100,2.43,CA,1689478063
220,les sables-d'olonne,46.6667,-1.8333,14.44,73,5,6.34,FR,1689478063
221,hadibu,12.65,54.0333,25.4,80,64,10.85,YE,1689478063
222,dudinka,69.4058,86.1778,4.79,72,100,4.99,RU,1689478063
223,stanley,54.868,-1.6985,13.49,90,40,5.14,GB,1689478063
224,mossel bay,-34.1831,22.146,10.96,52,55,3.21,ZA,1689478063
225,bangui,4.3612,18.555,23.1,94,25,0.0,CF,1689478064
226,greenville,35.6127,-77.3663,26.02,99,100,4.12,US,1689478031
227,avarua,-21.2078,-159.775,24.03,83,40,1.54,CK,1689478064
228,nikolayevsk-on-amure,53.1406,140.73,24.23,36,100,3.15,RU,1689478064
229,east london,-33.0153,27.9116,11.52,71,0,3.09,ZA,1689478064
230,abepura,-2.6333,140.5833,31.45,58,40,2.06,ID,1689478064
231,luganville,-15.5333,167.1667,24.88,83,75,7.4,VU,1689478064
232,saint-louis,16.3333,-15.0,28.12,73,87,6.46,SN,1689478064
233,vorkuta,67.5,64.0,15.81,56,35,1.91,RU,1689478064
234,kantharalak,14.6406,104.6499,30.47,57,95,5.62,TH,1689478065
235,saint-joseph,-21.3667,55.6167,21.21,85,70,7.32,RE,1689478065
236,basco,20.4487,121.9702,29.08,72,100,5.48,PH,1689478065
237,nadym,65.5333,72.5167,15.63,53,39,4.58,RU,1689478065
238,mandalgovi,45.7625,106.2708,26.5,22,41,4.44,MN,1689478065
239,fale old settlement,-9.3852,-171.2468,28.57,72,96,4.61,TK,1689478065
240,bandon,51.7469,-8.7425,11.77,87,90,3.98,IE,1689477955
241,kodiak,57.79,-152.4072,11.73,94,100,4.63,US,1689478065
242,sur,22.5667,59.5289,31.28,57,6,2.22,OM,1689478065
243,coahuayana de hidalgo,18.7,-103.6583,27.07,93,64,0.42,MX,1689478066
244,crane,31.3974,-102.3501,33.84,25,5,7.1,US,1689478066
245,constanza,47.6603,9.1758,18.98,89,97,4.47,DE,1689477808
246,west melbourne,28.0717,-80.6534,27.73,86,0,2.06,US,1689478066
247,howard springs,-12.497,131.047,30.46,34,29,4.47,AU,1689478066
248,pisco,-13.7,-76.2167,17.79,82,6,1.54,PE,1689477866
249,pindare mirim,-3.6083,-45.3433,23.7,90,68,1.59,BR,1689478067
250,mount gambier,-37.8333,140.7667,13.4,65,99,3.74,AU,1689478067
251,urangan,-25.3,152.9,19.99,69,100,4.8,AU,1689478067
252,simpang,-1.2667,104.0833,25.69,87,100,1.66,ID,1689478067
253,keflavik,64.0049,-22.5624,7.95,87,0,9.26,IS,1689478067
254,aldinga beach,-35.2793,138.4604,16.53,69,0,2.88,AU,1689478067
255,kattivakkam,13.2167,80.3167,30.05,76,100,3.15,IN,1689478067
256,beboto,8.2668,16.939,20.99,91,100,1.21,TD,1689477975
257,almese-rivera,45.1191,7.4011,22.86,77,75,1.38,IT,1689478067
258,jampur,29.6441,70.5954,36.57,42,27,7.43,PK,1689478068
259,klaksvik,62.2266,-6.589,11.51,96,100,14.52,FO,1689478068
260,tan-tan,28.438,-11.1032,20.91,86,100,8.98,MA,1689478068
261,saynshand,44.8824,110.1163,28.53,15,0,4.66,MN,1689478068
262,hasaki,35.7333,140.8333,37.94,73,79,6.68,JP,1689478068
263,torghay,49.6339,63.4981,21.92,65,98,3.03,KZ,1689478068
264,ust'-ilimsk,58.0006,102.6619,24.42,34,85,3.02,RU,1689478068
265,missoula,47.0166,-113.8009,24.22,45,27,1.59,US,1689478068
266,volkhov,59.9258,32.3382,15.03,87,5,1.36,RU,1689478069
267,rosso,16.4986,-15.8153,26.79,83,72,5.36,SN,1689478069
268,glasgow,55.8652,-4.2576,14.55,89,100,4.12,GB,1689477923
269,hawaiian paradise park,19.5933,-154.9731,26.73,73,40,3.6,US,1689478069
270,birao,10.2849,22.7882,22.46,86,94,1.75,CF,1689478069
271,at taj,24.2049,23.2857,26.83,21,10,4.35,LY,1689478069
272,ta`u,-14.2336,-169.5144,26.87,77,56,7.24,AS,1689478069
273,nisporeni,47.0814,28.1783,20.22,47,92,1.22,MD,1689478069
274,cuauhtemoc,28.4167,-106.8667,25.74,31,67,4.64,MX,1689477792
275,gadzhiyevo,69.2551,33.3362,12.69,97,95,0.97,RU,1689478070
276,guozhen,34.3659,107.359,31.65,35,0,2.2,CN,1689478070
277,coyhaique,-45.5752,-72.0662,0.34,100,40,0.51,CL,1689478070
278,itoman,26.1247,127.6694,31.01,80,75,9.77,JP,1689478070
279,mili,6.0815,171.735,28.36,74,97,5.8,MH,1689478070
280,vera,-29.4593,-60.2126,9.24,78,4,2.91,AR,1689478070
281,buka,40.8108,69.1986,27.32,19,0,3.09,UZ,1689478070
282,almenara,-16.1836,-40.6944,20.49,86,100,0.73,BR,1689478070
283,yurimaguas,-5.9,-76.0833,22.78,94,37,0.32,PE,1689478071
284,alofi,-19.0595,-169.9187,22.94,78,75,6.69,NU,1689478071
285,ladyzhyn,48.685,29.2368,13.45,67,0,0.57,UA,1689478071
286,talara,-4.5772,-81.2719,22.1,87,75,7.27,PE,1689477557
287,floro,61.5996,5.0328,14.98,82,75,5.66,NO,1689477978
288,port moresby,-9.4431,147.1797,29.68,58,20,5.14,PG,1689478071
289,port macquarie,-31.4333,152.9167,22.16,51,4,4.09,AU,1689478071
290,colonia,50.9333,6.95,18.87,71,0,4.63,DE,1689478027
291,burang,30.25,81.1667,14.02,66,98,1.7,CN,1689478071
292,tsiombe,-25.3,45.4833,14.55,75,0,2.51,MG,1689478071
293,laranjeiras do sul,-25.4078,-52.4161,8.78,80,72,1.26,BR,1689477955
294,rio brilhante,-21.8019,-54.5464,13.96,53,20,2.4,BR,1689478072
295,kerikeri,-35.2268,173.9474,16.1,68,100,4.09,NZ,1689478072
296,cam ranh,11.9214,109.1591,32.98,55,40,1.54,VN,1689478072
297,tamanrasset,22.785,5.5228,24.95,27,0,2.06,DZ,1689478072
298,vadso,70.0744,29.7487,13.49,94,100,3.09,NO,1689478072
299,cooma,-36.2333,149.1333,13.26,48,0,0.81,AU,1689478072
300,torit,4.4133,32.5678,20.37,80,74,0.43,SS,1689478072
301,jatara,25.0167,79.05,28.0,76,86,3.76,IN,1689478072
302,barcelos,41.5388,-8.6151,13.84,91,3,1.93,PT,1689478073
303,karema,-6.8205,30.4389,20.28,55,10,3.58,TZ,1689478040
304,kavalerovo,44.2661,135.0572,16.77,85,100,2.8,RU,1689478073
305,hirara,24.8,125.2833,32.92,66,40,8.75,JP,1689478073
306,atkaracalar,40.8159,33.0756,11.12,93,0,1.23,TR,1689478073
307,at-bashi,41.1702,75.8106,23.68,28,16,0.17,KG,1689478073
308,charters towers,-20.1,146.2667,24.84,38,72,6.83,AU,1689478073
309,puerto deseado,-47.7503,-65.8938,3.56,67,100,9.69,AR,1689478073
310,whitby,54.4877,-0.615,15.17,88,90,1.79,GB,1689477533
311,kasimov,54.9411,41.3953,13.44,89,99,3.19,RU,1689478073
312,mont-laurier,46.5501,-75.4993,19.79,99,100,1.4,CA,1689477794
313,miches,18.9836,-69.0476,26.69,89,14,4.07,DO,1689478074
314,korla,41.7597,86.1469,36.15,13,0,7.75,CN,1689478074
315,bodden town,19.2833,-81.25,30.0,84,20,5.14,KY,1689478074
316,north bend,43.4065,-124.2243,19.58,94,100,5.66,US,1689478074
317,capilla del monte,-30.8609,-64.5251,6.72,78,2,0.45,AR,1689478074
318,malango,-2.9627,119.9001,26.68,56,68,1.6,ID,1689478074
319,konstantinovka,49.6167,127.9833,15.45,96,100,3.13,RU,1689478074
320,walvis bay,-22.9575,14.5053,9.53,76,0,1.54,NA,1689477793
321,nogliki,51.8333,143.1667,15.82,69,100,3.58,RU,1689478074
322,san luis,-33.295,-66.3356,6.14,62,0,5.24,AR,1689478075
323,wildwood,38.5828,-90.6629,25.65,79,40,0.0,US,1689478075
324,eastham,41.8301,-69.9739,24.18,81,99,1.79,US,1689477865
325,nova sintra,14.8667,-24.7167,22.27,79,67,0.88,CV,1689478075
326,fada,9.5667,8.3,20.8,93,100,0.62,NG,1689478075
327,ovalle,-30.5983,-71.2003,14.32,53,30,0.26,CL,1689477433
328,la mana,-0.9333,-79.2167,24.0,88,66,1.67,EC,1689478075
329,bouza,14.4229,6.0428,31.48,42,85,1.81,NE,1689478075
330,tual,-5.6667,132.75,25.92,83,21,6.28,ID,1689478075
331,murrells inlet,33.551,-79.0414,28.36,91,40,6.17,US,1689477988
332,siverskiy,59.3544,30.0783,13.59,74,15,1.97,RU,1689478076
333,hun,29.1268,15.9477,24.76,44,2,3.28,LY,1689478076
334,margate,51.3813,1.3862,15.73,84,73,5.36,GB,1689478076
335,amga,60.8953,131.9608,20.35,36,65,1.63,RU,1689478076
336,ailuk,10.2197,169.9797,28.5,76,14,6.69,MH,1689478076
337,sakaiminato,35.55,133.2333,34.99,49,20,4.63,JP,1689478076
338,taltal,-25.4,-70.4833,16.12,70,74,1.92,CL,1689478076
339,cabedelo,-6.9811,-34.8339,24.37,83,0,5.16,BR,1689478076
340,marsabit,2.3284,37.9899,14.87,86,85,7.59,KE,1689478076
341,cueto,20.6439,-75.9356,27.29,84,12,4.46,CU,1689478077
342,cidreira,-30.1811,-50.2056,12.33,90,100,2.2,BR,1689478077
343,badger,64.8,-147.5333,16.95,84,100,3.09,US,1689478077
344,nemuro,43.3236,145.575,13.24,95,100,3.87,JP,1689478077
